Position,Identifier,Structure,filter_collect,characterization_1st,characterization_2nd
RACKL:71,A008B043C124_v2,Cc1cc(-c2cc(CO)cc(-c3cc(C)cc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)c3)c2)cc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)c1,TRUE,TRUE,TRUE
RACKL:72,A039B056C115_v2,CCn1c2ccccc2c2cc(-c3ccc(-c4cocc4-c4ccc(-c5ccc6c(c5)c5ccccc5n6CC)s4)s3)ccc21,TRUE,TRUE,TRUE
RACKL:73,A041B039C112_v2,Cc1nc(N)c(-c2cccc(-c3ccc4ncn(C)c4c3)c2)nc1-c1cccc(-c2ccc3ncn(C)c3c2)c1,TRUE,TRUE,TRUE
RACKL:74,A015B031C110_v2,Cc1cc(-c2ccc(N(C)C)c3ccccc23)c(C)cc1-c1ccc(C(N)=O)c(-c2cc(C)c(-c3ccc(N(C)C)c4ccccc34)cc2C)n1,TRUE,TRUE,TRUE
RACKL:75,A041B064C130_v2,CCCCCCN1c2ccc(-c3ccc(-c4ccc(-c5ccc6ncn(C)c6c5)s4)s3)cc2Sc2cc(-c3ccc(-c4ccc(-c5ccc6ncn(C)c6c5)s4)s3)ccc21,TRUE,TRUE,TRUE
RACKL:76,A004B037C126_v2,CC(C)(C)OC(=O)N(c1ccccc1)c1ccc(-c2ccc(-c3cnc(C#N)c(-c4ccc(-c5ccc(N(C(=O)OC(C)(C)C)c6ccccc6)cc5)cc4)c3)cc2)cc1,TRUE,TRUE,TRUE
RACKL:77,,,,,
RACKL:78,,,,,
RACKL:79,,,,,
RACKL:80,,,,,
